,期货结算价(活跃合约):焦煤,综合平均价格指数:环渤海动力煤(Q5500K),期货结算价(连续):布伦特原油,期货结算价(连续):IPE英国天然气,期货结算价(连续):WTI原油,钻机数量:美国:当周值,期货结算价(活跃合约):阴极铜,期货结算价(活跃合约):铝,总库存:LME铝,上期有色金属指数,期货结算价(活跃合约):甲醇,期货结算价(活跃合约):聚丙烯,期货结算价(活跃合约):燃料油,市场价:涤纶长丝(FDY150D/96F):全国,CCFEI价格指数:涤纶短纤,中国铁矿石价格指数(CIOPI):国产铁矿石,全国主要港口:铁矿石库存:总计(45港口),Myspic综合钢价指数,水泥价格指数:全国,22个省市:平均价:猪肉,平均价:羊肉:全国,期货结算价(活跃合约):菜籽油,日均产量:粗钢:重点企业(旬),日均产量:生铁:重点企业(旬),南华工业品指数,日均耗煤量:6大发电集团:合计:月:环比,期货结算价(活跃合约):IPE英国天然气:月:环比,全国主要港口:铁矿石库存:总计:环比,平均批发价:羊肉:月:环比
2016/4/30,13.99624356,0.257069409,8.190038786,-2.006563844,7.693303663,-9.260531136,-1.280677645,5.724832881,-4.342255769,0.007170312,2.236967688,-2.212062954,-3.293543609,-2.351599609,-2.211756239,5.694914265,2.603456572,15.37540244,3.542545124,6.75,-0.779083586,4.894492035,4.181800334,3.34473892,7.098655476,1.29 ,-2.13 ,3.79,-0.85 
2016/5/31,-3.358980524,0,9.040046191,5.210737401,12.12031789,-7.255985267,-3.059753884,0.862892422,-5.171764184,-2.063974262,-2.475495698,-3.854405497,1.876280213,-1.138329512,-0.92514334,1.385637133,1.157352358,-7.942370891,2.509867744,3.042460715,-0.762850934,-0.022427877,2.667634863,1.192310001,-5.753350481,-2.12 ,6.39 ,0.74,-1.32 
2016/6/30,-0.553661662,2.310396786,4.567552804,12.35148949,4.209582825,2.279544091,-0.153361618,-1.551155604,-5.097237717,0.869993084,-0.335578028,7.178299151,4.96028656,-1.092469762,-2.056454766,-5.201033016,0.108878551,-9.278461696,-0.41654496,-1.674173536,-0.857965932,2.045441406,-1.397016082,1.582957611,1.588921909,8.59 ,14.36 ,-0.28,0.02 
2016/7/31,6.344374717,5.303210464,-7.290272226,4.333875183,-9.048497903,7.099866251,5.149867875,2.868263817,-5.241100078,6.012051923,0.626911695,12.36238358,1.340064753,4.193657621,3.550529457,2.102166116,5.941608014,4.987550337,-1.701501885,-5.295654664,-1.095283318,3.584169454,-2.917422777,-3.915952288,7.437115112,9.65 ,4.95 ,5.91,-1.01 
2016/8/31,11.76788848,9.453057709,1.323961074,-11.30648238,-0.000824938,6.784415584,-1.709090666,-0.681541541,-3.616632998,0.045847024,3.121707088,-5.027634207,0.090820243,1.657699893,0.948813146,5.080619877,-0.488352512,5.470296686,2.461080201,-0.795526292,-0.884156356,-0.928911919,2.217065752,2.445012175,2.718198306,7.97 ,-7.33 ,-0.64,-1.56 
2016/9/30,9.260086876,14.27780341,0.172149298,5.783003402,0.943232976,5.414701258,-0.458883068,-1.620718433,-3.555480743,0.132175508,2.86219153,-7.926559183,1.377635779,-0.278860791,-1.768843673,3.045976491,-2.599297383,-0.010719046,4.169548337,-2.733506301,-0.174580686,-0.838293247,2.390559574,2.348607402,-1.022668094,-18.67 ,5.63 ,-2.68,-0.91 
2016/10/31,21.70955638,6.594827586,8.070357372,27.00348858,9.439899308,6.341463415,1.590580733,6.383224595,-1.981136913,3.006350867,10.68853898,8.752123184,1.238698222,2.451189847,3.06898984,0.242993334,2.047762317,3.286794035,7.041588621,-7.205298013,-0.718066743,6.339358774,-1.731014987,-1.920937624,7.449682552,-4.44 ,33.73 ,2.04,-0.84 
2016/11/30,20.94076109,3.878024528,-9.152734694,7.444434868,-9.124395193,6.25539258,13.99269235,5.569632287,0.281415912,12.62867686,7.191064287,7.903026018,9.574831761,2.400201496,3.055789764,4.95789628,3.824938964,12.05415779,6.823599523,0.576131687,0.479165903,4.216165097,0.019358835,-0.521176541,13.54969932,7.91 ,7.42 ,4.43,0.57 
2016/12/31,-17.82288887,-1.411764706,14.27184596,-6.494049501,12.27133311,8.567371411,5.288064224,-5.845087676,-0.526008869,3.305846195,12.27483148,6.707930981,28.31227765,13.08304892,11.63953158,5.944498596,1.886156358,11.04744714,1.779529864,-0.279296411,1.187760275,6.402250488,-2.659088199,-3.853093051,5.471198285,10.48 ,-6.10 ,0.99,1.76 
2017/1/31,-4.139399919,-0.591715976,0.958433528,12.39178408,0.841661926,7.135531136,0.908809276,1.552862804,5.868659576,-0.288110335,-0.981042533,-3.26219075,5.808042384,1.212495081,1.316681134,0.711813752,4.966556124,-1.271002479,-0.639885039,4.204933586,1.568347888,-4.601402504,-1.580700515,-0.775339603,0.402433145,-6.00 ,13.69 ,4.21,2.20 
